575992.16,4570500.21,360.22,1,,,61
575991.40,4570500.56,363.02,2,,,31
575990.80,4570500.91,359.97,3,,,40
575991.95,4570500.15,372.52,1,,,1
575990.16,4570501.19,363.40,2,,,8
575991.20,4570500.50,375.32,1,,,4
575990.44,4570500.93,371.51,2,,,11
575990.19,4570500.99,376.76,1,,,1
575988.94,4570501.06,378.34,1,,,2
575990.85,4570500.13,374.75,1,,,4
575990.08,4570500.58,370.83,2,,,12
575991.24,4570500.08,363.27,2,,,36
575990.60,4570500.45,360.02,3,,,30
575986.60,4570500.27,359.92,2,,,67
575985.26,4570500.96,359.83,2,,,60
575984.85,4570501.10,364.41,2,,,5
575986.27,4570500.20,378.09,1,,,4
575985.55,4570500.62,374.48,2,,,2
575984.99,4570500.85,378.24,1,,,4
575983.42,4570501.07,378.58,1,,,3
575983.60,4570501.05,372.93,1,,,16
575985.10,4570500.29,373.82,2,,,4
575984.95,4570500.54,359.81,3,,,79
575980.59,4570500.50,360.01,3,,,50
575979.25,4570501.18,359.88,2,,,58
575977.49,4570501.25,378.52,1,,,1
575977.96,4570501.07,374.36,1,,,5
575979.31,4570500.37,374.57,2,,,6
575978.98,4570500.73,359.87,2,,,74
575980.32,4570500.04,359.97,3,,,80
575976.03,4570500.00,359.87,3,,,79
575974.61,4570500.73,359.41,3,,,55
575975.04,4570500.30,374.39,2,,,4
575974.68,4570500.43,378.97,1,,,4
575973.06,4570500.66,378.34,1,,,3
575973.11,4570500.88,359.28,3,,,79
575974.47,4570500.19,359.46,4,,,18
575969.91,4570500.19,359.32,2,,,83
575968.56,4570500.89,359.18,1,,,107
575969.69,4570500.14,371.13,2,,,2
575967.91,4570501.08,368.92,1,,,1
575968.41,4570500.70,377.67,1,,,3
575967.64,4570501.07,380.16,1,,,3
575967.49,4570500.65,380.12,1,,,4
575966.65,4570501.13,376.07,2,,,3
575968.19,4570500.32,377.23,1,,,4
575967.07,4570501.14,359.11,3,,,51
575968.43,4570500.44,359.25,2,,,83
575964.19,4570500.20,359.48,2,,,91
575962.87,4570500.87,359.46,2,,,68
575963.51,4570500.33,375.14,1,,,3
575960.79,4570501.22,375.72,1,,,3
575962.50,4570500.33,377.59,1,,,3
575962.96,4570500.15,373.43,1,,,2
575961.39,4570501.13,359.57,3,,,60
575962.71,4570500.46,359.54,2,,,73
575958.48,4570500.25,359.96,2,,,59
575957.18,4570500.91,360.05,3,,,34
575957.19,4570500.74,372.56,2,,,2
575956.75,4570500.90,376.70,1,,,4
575956.17,4570501.24,373.96,2,,,2
575956.22,4570501.12,380.35,1,,,5
575956.10,4570500.69,380.82,1,,,3
575957.38,4570500.04,380.61,1,,,1
575957.57,4570500.02,375.35,1,,,8
575955.70,4570501.18,360.25,2,,,35
575956.98,4570500.53,359.99,4,,,66
575952.95,4570500.27,360.80,3,,,72
575951.66,4570500.93,360.95,3,,,78
575952.94,4570500.02,379.24,1,,,3
575951.21,4570500.39,378.90,1,,,5
575951.35,4570500.56,361.05,1,,,82
575997.61,4570500.13,364.58,2,,,4
575996.81,4570500.60,360.41,3,,,63
575997.29,4570500.22,369.68,2,,,5
575997.29,4570500.14,376.40,1,,,5
575996.59,4570500.54,372.77,2,,,9
575996.03,4570500.78,376.59,1,,,6
575994.35,4570501.15,375.61,1,,,2
575995.72,4570500.45,375.98,1,,,5
575995.25,4570500.88,360.12,3,,,61
575996.61,4570500.19,360.35,2,,,83
575968.43,4570512.04,378.93,1,,,7
575968.87,4570511.41,370.30,2,,,4
575968.81,4570511.62,357.16,2,,,62
575967.67,4570509.94,357.73,3,,,83
575966.35,4570510.61,357.77,3,,,79
575968.59,4570509.24,374.85,2,,,3
575967.83,4570509.67,371.21,3,,,3
575968.33,4570509.31,379.80,1,,,2
575967.56,4570509.75,376.13,2,,,1
575966.96,4570510.01,379.48,1,,,2
575966.34,4570509.82,378.48,1,,,4
575967.99,4570508.96,380.08,1,,,3
575967.47,4570509.25,377.61,2,,,5
575968.51,4570508.73,376.29,2,,,2
575968.60,4570508.76,370.41,2,,,4
575967.24,4570509.54,363.86,3,,,1
575965.98,4570510.26,357.78,4,,,57
575968.63,4570508.91,357.72,3,,,73
575968.33,4570506.78,358.24,3,,,47
575966.96,4570507.47,358.10,4,,,31
575968.77,4570506.34,373.15,2,,,2
575967.98,4570506.79,369.36,3,,,3
575965.66,4570508.13,358.17,4,,,56
575968.65,4570506.34,378.85,1,,,3
575968.04,4570506.68,375.95,2,,,5
575966.78,4570507.40,369.90,3,,,2
575964.35,4570508.79,358.27,4,,,65
575967.34,4570507.00,378.85,1,,,3
575965.47,4570507.99,376.21,1,,,5
575964.66,4570508.37,378.67,1,,,7
575964.01,4570508.74,375.58,2,,,10
575964.52,4570507.88,379.29,1,,,4
575964.06,4570508.14,377.10,2,,,6
575965.07,4570507.64,375.64,1,,,3
575966.64,4570506.83,376.85,1,,,4
575967.42,4570506.46,374.32,1,,,3
575964.08,4570508.37,358.32,2,,,78
575968.50,4570505.92,373.20,1,,,8
575965.40,4570507.70,358.26,2,,,32
575968.59,4570505.94,367.29,2,,,8
575966.73,4570507.02,358.30,3,,,37
575968.66,4570506.00,361.18,3,,,6
575968.03,4570506.36,358.15,4,,,34
575967.88,4570504.17,358.68,4,,,61
575968.09,4570503.96,366.02,3,,,2
575966.56,4570504.84,358.67,4,,,52
575967.95,4570503.96,371.72,2,,,2
575966.39,4570504.86,364.21,3,,,2
575965.24,4570505.52,358.67,4,,,65
575963.92,4570506.19,358.66,1,,,69
575965.15,4570505.39,370.91,1,,,4
575962.61,4570506.85,358.73,2,,,87
575964.76,4570505.54,375.28,1,,,8
575961.31,4570507.51,358.86,2,,,77
575964.28,4570505.74,379.19,1,,,2
575961.45,4570507.17,378.26,1,,,4
575961.80,4570506.46,374.88,1,,,1
575964.38,4570505.16,374.62,1,,,9
575961.07,4570507.04,358.88,2,,,77
575965.69,4570504.49,374.59,1,,,10
575962.39,4570506.38,358.80,2,,,75
575965.32,4570504.79,366.50,1,,,2
575963.70,4570505.72,358.70,2,,,73
575967.39,4570503.67,370.08,1,,,4
